,Account Statements,Balance Transfer,Debit Cards,Current Accounts,Student account,Cheque Payments,International Payments,Cardless Cash Withdrawal,Online Purchases,Google/Apple Pay,Mobile Banking App,Fixed-rate Credit Card,Bonds,Stock Trading and Shares,Investment Accounts,International Trading,Fund Performance,Fixed Deposit,Fixed Term Savings,ISA Accounts,Savings Options,Daily Savings,Personal Pension,Self-Invested Personal Pension (SIPP),Retirement Planning Calculator,Bereavement Support,Debt Management Services,Financial Assistance,Budgeting Tools and Resources,Financial Education Webinars,Personalised Financial Advice,Overdraft Protection,Data and Privacy Control,Fraud Alerts and Monitoring,Digital Confidence,Mortgage Calculator,Personal Loan Calculator,Mortgage Rates,Remortgage Options,Other Borrowing Options,Credit Score,Car Insurance Renewal,Travel Insurance,Life Insurance Coverage,Insurance Coverage Calculator,Interest Rates,Rewards Programme,Claims,Student Loan Repayment,Trustee Banking
Fixed Term Savings,25.0,25.0,27.500000000000004,40.0,30.0,22.5,20.0,17.5,10.0,10.0,15.0,25.0,45.0,37.5,50.0,30.0,22.5,62.5,0.0,67.5,62.5,60.0,37.5,45.0,10.0,2.5,12.5,2.5,7.5,10.0,12.5,17.5,7.5,0.0,5.0,7.5,17.5,7.5,10.0,15.0,5.0,7.5,10.0,7.5,2.5,30.0,17.5,5.0,7.5,32.5
ISA Accounts,22.5,22.5,25.0,45.0,37.5,15.0,20.0,10.0,10.0,15.0,12.5,22.5,52.5,50.0,60.0,42.5,35.0,52.5,67.5,0.0,45.0,55.00000000000001,32.5,42.5,10.0,5.0,7.5,0.0,5.0,7.5,7.5,12.5,5.0,0.0,5.0,5.0,7.5,7.5,10.0,5.0,7.5,5.0,12.5,5.0,5.0,22.5,15.0,10.0,15.0,27.500000000000004
Savings Options,25.0,15.0,20.0,25.0,22.5,12.5,12.5,15.0,15.0,12.5,12.5,17.5,40.0,32.5,42.5,27.500000000000004,27.500000000000004,42.5,62.5,45.0,0.0,60.0,30.0,35.0,17.5,12.5,10.0,10.0,10.0,7.5,15.0,15.0,12.5,7.5,10.0,10.0,12.5,10.0,17.5,15.0,20.0,10.0,7.5,2.5,2.5,32.5,22.5,15.0,10.0,27.500000000000004
Daily Savings,42.5,35.0,35.0,45.0,25.0,22.5,22.5,25.0,27.500000000000004,27.500000000000004,22.5,17.5,42.5,40.0,42.5,35.0,22.5,42.5,60.0,55.00000000000001,60.0,0.0,30.0,37.5,12.5,5.0,2.5,0.0,7.5,7.5,7.5,15.0,7.5,2.5,10.0,2.5,12.5,0.0,2.5,7.5,15.0,7.5,10.0,5.0,2.5,22.5,25.0,12.5,5.0,25.0
Personal Pension,12.5,10.0,12.5,22.5,22.5,10.0,7.5,5.0,2.5,7.5,5.0,12.5,45.0,35.0,47.5,22.5,30.0,32.5,37.5,32.5,30.0,30.0,0.0,80.0,45.0,15.0,7.5,5.0,5.0,7.5,7.5,0.0,2.5,2.5,2.5,5.0,7.5,2.5,5.0,10.0,5.0,2.5,5.0,10.0,0.0,7.5,5.0,10.0,5.0,22.5
Self-Invested Personal Pension (SIPP),10.0,7.5,10.0,20.0,20.0,5.0,7.5,5.0,2.5,5.0,7.5,15.0,52.5,47.5,57.49999999999999,35.0,35.0,32.5,45.0,42.5,35.0,37.5,80.0,0.0,40.0,15.0,7.5,5.0,5.0,5.0,10.0,2.5,2.5,2.5,5.0,5.0,10.0,5.0,7.5,7.5,5.0,5.0,7.5,12.5,0.0,5.0,7.5,7.5,10.0,27.500000000000004
Retirement Planning Calculator,17.5,2.5,2.5,2.5,2.5,2.5,5.0,7.5,2.5,5.0,10.0,7.5,22.5,22.5,17.5,15.0,22.5,12.5,10.0,10.0,17.5,12.5,45.0,40.0,0.0,22.5,20.0,17.5,32.5,30.0,30.0,17.5,12.5,20.0,15.0,45.0,45.0,15.0,15.0,10.0,20.0,5.0,7.5,15.0,42.5,22.5,12.5,12.5,10.0,10.0
Bereavement Support,7.5,7.5,2.5,7.5,10.0,5.0,12.5,17.5,17.5,10.0,7.5,10.0,5.0,5.0,7.5,12.5,12.5,5.0,2.5,5.0,12.5,5.0,15.0,15.0,22.5,0.0,47.5,60.0,40.0,47.5,50.0,35.0,35.0,45.0,35.0,15.0,15.0,10.0,17.5,20.0,12.5,15.0,17.5,20.0,15.0,17.5,27.500000000000004,30.0,22.5,12.5
Debt Management Services,12.5,15.0,10.0,12.5,15.0,7.5,12.5,17.5,12.5,15.0,10.0,20.0,2.5,2.5,2.5,7.5,12.5,15.0,12.5,7.5,10.0,2.5,7.5,7.5,20.0,47.5,0.0,70.0,47.5,45.0,37.5,55.00000000000001,30.0,37.5,32.5,30.0,47.5,27.500000000000004,40.0,47.5,37.5,10.0,12.5,10.0,12.5,40.0,22.5,20.0,40.0,15.0
Financial Assistance,10.0,12.5,5.0,5.0,7.5,5.0,7.5,15.0,12.5,15.0,10.0,20.0,2.5,0.0,2.5,5.0,12.5,7.5,2.5,0.0,10.0,0.0,5.0,5.0,17.5,60.0,70.0,0.0,60.0,50.0,45.0,40.0,27.500000000000004,42.5,32.5,27.500000000000004,37.5,20.0,30.0,37.5,25.0,10.0,10.0,10.0,12.5,27.500000000000004,22.5,20.0,30.0,10.0
Budgeting Tools and Resources,17.5,10.0,7.5,10.0,10.0,5.0,12.5,17.5,7.5,12.5,15.0,7.5,5.0,5.0,5.0,7.5,12.5,7.5,7.5,5.0,10.0,7.5,5.0,5.0,32.5,40.0,47.5,60.0,0.0,70.0,60.0,30.0,22.5,40.0,45.0,35.0,42.5,12.5,20.0,17.5,22.5,5.0,10.0,10.0,27.500000000000004,25.0,17.5,15.0,15.0,2.5
Financial Education Webinars,17.5,12.5,7.5,7.5,7.5,7.5,20.0,20.0,15.0,12.5,12.5,7.5,7.5,7.5,7.5,15.0,17.5,7.5,10.0,7.5,7.5,7.5,7.5,5.0,30.0,47.5,45.0,50.0,70.0,0.0,67.5,22.5,30.0,45.0,50.0,25.0,27.500000000000004,10.0,15.0,15.0,17.5,5.0,10.0,12.5,20.0,20.0,22.5,20.0,17.5,2.5
Personalised Financial Advice,25.0,10.0,7.5,7.5,7.5,12.5,15.0,12.5,15.0,12.5,20.0,15.0,7.5,7.5,7.5,12.5,10.0,7.5,12.5,7.5,15.0,7.5,7.5,10.0,30.0,50.0,37.5,45.0,60.0,67.5,0.0,27.500000000000004,30.0,30.0,35.0,25.0,30.0,15.0,22.5,27.500000000000004,22.5,7.5,10.0,12.5,17.5,17.5,25.0,25.0,12.5,7.5
Overdraft Protection,30.0,35.0,27.500000000000004,25.0,25.0,30.0,22.5,35.0,27.500000000000004,25.0,30.0,27.500000000000004,2.5,5.0,5.0,12.5,15.0,12.5,17.5,12.5,15.0,15.0,0.0,2.5,17.5,35.0,55.00000000000001,40.0,30.0,22.5,27.500000000000004,0.0,40.0,35.0,25.0,22.5,35.0,22.5,30.0,32.5,32.5,10.0,17.5,10.0,22.5,32.5,30.0,20.0,22.5,27.500000000000004
Data and Privacy Control,22.5,7.5,10.0,15.0,20.0,17.5,20.0,22.5,22.5,25.0,22.5,2.5,2.5,5.0,2.5,10.0,10.0,10.0,7.5,5.0,12.5,7.5,2.5,2.5,12.5,35.0,30.0,27.500000000000004,22.5,30.0,30.0,40.0,0.0,65.0,62.5,10.0,10.0,10.0,15.0,15.0,15.0,7.5,10.0,5.0,12.5,22.5,37.5,35.0,15.0,20.0
Fraud Alerts and Monitoring,12.5,5.0,7.5,2.5,10.0,7.5,12.5,17.5,22.5,22.5,20.0,7.5,0.0,0.0,0.0,5.0,7.5,2.5,0.0,0.0,7.5,2.5,2.5,2.5,20.0,45.0,37.5,42.5,40.0,45.0,30.0,35.0,65.0,0.0,50.0,20.0,22.5,5.0,17.5,10.0,15.0,5.0,7.5,10.0,20.0,17.5,27.500000000000004,40.0,17.5,12.5
Digital Confidence,10.0,5.0,5.0,7.5,7.5,5.0,12.5,20.0,12.5,17.5,12.5,0.0,2.5,7.5,2.5,10.0,12.5,7.5,5.0,5.0,10.0,10.0,2.5,5.0,15.0,35.0,32.5,32.5,45.0,50.0,35.0,25.0,62.5,50.0,0.0,12.5,15.0,12.5,10.0,12.5,15.0,7.5,7.5,5.0,10.0,27.500000000000004,22.5,22.5,10.0,10.0
Mortgage Calculator,12.5,5.0,0.0,0.0,0.0,0.0,2.5,5.0,2.5,5.0,10.0,12.5,5.0,5.0,0.0,7.5,7.5,15.0,7.5,5.0,10.0,2.5,5.0,5.0,45.0,15.0,30.0,27.500000000000004,35.0,25.0,25.0,22.5,10.0,20.0,12.5,0.0,62.5,60.0,57.49999999999999,30.0,27.500000000000004,5.0,7.5,7.5,42.5,35.0,5.0,15.0,15.0,5.0
Personal Loan Calculator,30.0,17.5,15.0,17.5,10.0,12.5,15.0,15.0,12.5,15.0,22.5,25.0,7.5,7.5,5.0,7.5,7.5,15.0,17.5,7.5,12.5,12.5,7.5,10.0,45.0,15.0,47.5,37.5,42.5,27.500000000000004,30.0,35.0,10.0,22.5,15.0,62.5,0.0,27.500000000000004,30.0,37.5,47.5,7.5,7.5,12.5,40.0,42.5,15.0,17.5,27.500000000000004,15.0
Mortgage Rates,2.5,7.5,0.0,2.5,0.0,0.0,5.0,5.0,5.0,5.0,2.5,20.0,7.5,7.5,2.5,10.0,15.0,20.0,7.5,7.5,10.0,0.0,2.5,5.0,15.0,10.0,27.500000000000004,20.0,12.5,10.0,15.0,22.5,10.0,5.0,12.5,60.0,27.500000000000004,0.0,75.0,47.5,20.0,5.0,10.0,7.5,15.0,40.0,7.5,5.0,22.5,5.0
Remortgage Options,10.0,12.5,7.5,5.0,5.0,2.5,5.0,7.5,12.5,7.5,7.5,30.0,10.0,5.0,5.0,10.0,10.0,22.5,10.0,10.0,17.5,2.5,5.0,7.5,15.0,17.5,40.0,30.0,20.0,15.0,22.5,30.0,15.0,17.5,10.0,57.49999999999999,30.0,75.0,0.0,57.49999999999999,32.5,12.5,17.5,7.5,12.5,25.0,17.5,15.0,30.0,10.0
Other Borrowing Options,15.0,25.0,12.5,12.5,12.5,12.5,12.5,12.5,22.5,10.0,10.0,40.0,10.0,5.0,5.0,7.5,5.0,12.5,15.0,5.0,15.0,7.5,10.0,7.5,10.0,20.0,47.5,37.5,17.5,15.0,27.500000000000004,32.5,15.0,10.0,12.5,30.0,37.5,47.5,57.49999999999999,0.0,27.500000000000004,17.5,20.0,12.5,7.5,27.500000000000004,12.5,22.5,37.5,12.5
Credit Score,37.5,22.5,20.0,15.0,10.0,17.5,17.5,20.0,25.0,22.5,25.0,32.5,2.5,2.5,10.0,7.5,12.5,10.0,5.0,7.5,20.0,15.0,5.0,5.0,20.0,12.5,37.5,25.0,22.5,17.5,22.5,32.5,15.0,15.0,15.0,27.500000000000004,47.5,20.0,32.5,27.500000000000004,0.0,5.0,5.0,5.0,17.5,22.5,27.500000000000004,10.0,35.0,15.0
Car Insurance Renewal,7.5,7.5,7.5,12.5,7.5,10.0,15.0,17.5,20.0,5.0,10.0,7.5,2.5,5.0,2.5,10.0,0.0,7.5,7.5,5.0,10.0,7.5,2.5,5.0,5.0,15.0,10.0,10.0,5.0,5.0,7.5,10.0,7.5,5.0,7.5,5.0,7.5,5.0,12.5,17.5,5.0,0.0,80.0,70.0,47.5,7.5,5.0,37.5,17.5,5.0
Travel Insurance,2.5,12.5,10.0,10.0,15.0,5.0,12.5,10.0,10.0,5.0,2.5,10.0,5.0,7.5,5.0,10.0,2.5,7.5,10.0,12.5,7.5,10.0,5.0,7.5,7.5,17.5,12.5,10.0,10.0,10.0,10.0,17.5,10.0,7.5,7.5,7.5,7.5,10.0,17.5,20.0,5.0,80.0,0.0,77.5,57.49999999999999,10.0,10.0,37.5,7.5,10.0
Life Insurance Coverage,5.0,5.0,0.0,7.5,7.5,2.5,7.5,7.5,7.5,5.0,2.5,5.0,7.5,10.0,5.0,10.0,7.5,7.5,7.5,5.0,2.5,5.0,10.0,12.5,15.0,20.0,10.0,10.0,10.0,12.5,12.5,10.0,5.0,10.0,5.0,7.5,12.5,7.5,7.5,12.5,5.0,70.0,77.5,0.0,50.0,7.5,5.0,37.5,10.0,10.0
Insurance Coverage Calculator,15.0,2.5,2.5,0.0,7.5,2.5,7.5,5.0,2.5,5.0,10.0,2.5,5.0,7.5,2.5,7.5,10.0,2.5,2.5,5.0,2.5,2.5,0.0,0.0,42.5,15.0,12.5,12.5,27.500000000000004,20.0,17.5,22.5,12.5,20.0,10.0,42.5,40.0,15.0,12.5,7.5,17.5,47.5,57.49999999999999,50.0,0.0,22.5,10.0,30.0,2.5,5.0
Interest Rates,15.0,15.0,7.5,12.5,7.5,5.0,15.0,15.0,7.5,15.0,7.5,17.5,12.5,15.0,7.5,17.5,27.500000000000004,27.500000000000004,30.0,22.5,32.5,22.5,7.5,5.0,22.5,17.5,40.0,27.500000000000004,25.0,20.0,17.5,32.5,22.5,17.5,27.500000000000004,35.0,42.5,40.0,25.0,27.500000000000004,22.5,7.5,10.0,7.5,22.5,0.0,12.5,17.5,15.0,7.5
Rewards Programme,42.5,30.0,32.5,35.0,25.0,32.5,22.5,35.0,30.0,27.500000000000004,27.500000000000004,17.5,12.5,15.0,10.0,17.5,20.0,17.5,17.5,15.0,22.5,25.0,5.0,7.5,12.5,27.500000000000004,22.5,22.5,17.5,22.5,25.0,30.0,37.5,27.500000000000004,22.5,5.0,15.0,7.5,17.5,12.5,27.500000000000004,5.0,10.0,5.0,10.0,12.5,0.0,15.0,15.0,30.0
Claims,15.0,12.5,5.0,7.5,15.0,7.5,12.5,10.0,20.0,7.5,10.0,7.5,12.5,10.0,12.5,15.0,12.5,5.0,5.0,10.0,15.0,12.5,10.0,7.5,12.5,30.0,20.0,20.0,15.0,20.0,25.0,20.0,35.0,40.0,22.5,15.0,17.5,5.0,15.0,22.5,10.0,37.5,37.5,37.5,30.0,17.5,15.0,0.0,15.0,10.0
Student Loan Repayment,15.0,30.0,22.5,25.0,35.0,30.0,32.5,22.5,32.5,15.0,17.5,27.500000000000004,7.5,7.5,5.0,15.0,5.0,10.0,7.5,15.0,10.0,5.0,5.0,10.0,10.0,22.5,40.0,30.0,15.0,17.5,12.5,22.5,15.0,17.5,10.0,15.0,27.500000000000004,22.5,30.0,37.5,35.0,17.5,7.5,10.0,2.5,15.0,15.0,15.0,0.0,15.0
Trustee Banking,25.0,30.0,40.0,40.0,37.5,37.5,27.500000000000004,20.0,15.0,12.5,25.0,27.500000000000004,20.0,17.5,20.0,25.0,17.5,22.5,32.5,27.500000000000004,27.500000000000004,25.0,22.5,27.500000000000004,10.0,12.5,15.0,10.0,2.5,2.5,7.5,27.500000000000004,20.0,12.5,10.0,5.0,15.0,5.0,10.0,12.5,15.0,5.0,10.0,10.0,5.0,7.5,30.0,10.0,15.0,0.0
