,Air Conditioners,Air Purifiers,Cameras,Chargers,Coffee Makers,Computer Mice,Cookers,Deep Fryers,Desktop Computers,Dishwashers,Drones,E-Readers,Electric Kettles,Electric Toothbrushes,Fans,Freezers,Fridges,Gaming Consoles,Graphic Cards,Hair Dryers,Headphones,Hobs,Irons,Juicers,Keyboards,Kitchen Scales,Laptops,Microphones,Microwave Ovens,Monitors,Musical Instruments,Ovens,PC Games,Phone Cases,Printers,Processors,Radiators,Radios,Scanners,Shavers,Smart Watches,Smartphones,Speakers,Stand Mixers,Tablets,Televisions,Trimmers,Vacuum Cleaners,VR Headsets,Washing Machines
Air Conditioners,0.0,82.5,2.5,0.0,20.0,0.0,22.5,20.0,0.0,27.500000000000004,7.5,5.0,20.0,20.0,75.0,25.0,25.0,2.5,0.0,25.0,5.0,20.0,60.0,25.0,0.0,22.5,0.0,2.5,22.5,0.0,10.0,22.5,2.5,5.0,5.0,5.0,80.0,12.5,2.5,22.5,2.5,7.5,5.0,22.5,0.0,20.0,25.0,65.0,2.5,37.5
Air Purifiers,82.5,0.0,2.5,2.5,20.0,2.5,22.5,20.0,2.5,30.0,7.5,10.0,20.0,25.0,85.0,22.5,22.5,7.5,2.5,32.5,7.5,20.0,62.5,25.0,2.5,22.5,2.5,2.5,22.5,2.5,10.0,22.5,5.0,5.0,10.0,5.0,77.5,17.5,5.0,30.0,0.0,7.5,5.0,25.0,2.5,30.0,32.5,72.5,2.5,37.5
Cameras,2.5,2.5,0.0,57.49999999999999,0.0,45.0,0.0,0.0,45.0,0.0,60.0,65.0,0.0,5.0,7.5,0.0,2.5,45.0,45.0,5.0,50.0,0.0,5.0,0.0,45.0,0.0,47.5,57.49999999999999,0.0,42.5,37.5,0.0,37.5,52.5,35.0,30.0,0.0,57.49999999999999,37.5,10.0,65.0,65.0,47.5,0.0,70.0,47.5,10.0,0.0,60.0,0.0
Chargers,0.0,2.5,57.49999999999999,0.0,0.0,47.5,0.0,0.0,45.0,0.0,50.0,52.5,0.0,5.0,5.0,0.0,2.5,42.5,47.5,2.5,52.5,0.0,2.5,0.0,47.5,0.0,45.0,52.5,0.0,40.0,17.5,0.0,40.0,85.0,32.5,30.0,0.0,37.5,37.5,7.5,62.5,67.5,45.0,0.0,60.0,25.0,7.5,0.0,52.5,0.0
Coffee Makers,20.0,20.0,0.0,0.0,0.0,2.5,87.5,97.5,0.0,77.5,0.0,0.0,97.5,7.5,15.0,82.5,82.5,0.0,0.0,10.0,0.0,85.0,40.0,92.5,0.0,95.0,0.0,0.0,92.5,0.0,0.0,87.5,0.0,0.0,12.5,20.0,17.5,2.5,5.0,5.0,5.0,2.5,2.5,90.0,0.0,7.5,5.0,35.0,0.0,65.0
Computer Mice,0.0,2.5,45.0,47.5,2.5,0.0,2.5,2.5,80.0,2.5,40.0,35.0,2.5,2.5,12.5,2.5,5.0,52.5,87.5,2.5,52.5,2.5,5.0,2.5,90.0,2.5,80.0,67.5,2.5,87.5,12.5,2.5,65.0,40.0,72.5,62.5,0.0,27.500000000000004,75.0,5.0,35.0,32.5,55.00000000000001,2.5,55.00000000000001,25.0,5.0,2.5,60.0,2.5
Cookers,22.5,22.5,0.0,0.0,87.5,2.5,0.0,90.0,0.0,85.0,0.0,0.0,90.0,7.5,17.5,92.5,82.5,0.0,0.0,10.0,0.0,92.5,40.0,85.0,0.0,87.5,0.0,0.0,95.0,0.0,0.0,100.0,0.0,0.0,10.0,17.5,20.0,2.5,2.5,5.0,5.0,2.5,2.5,82.5,0.0,7.5,5.0,35.0,0.0,75.0
Deep Fryers,20.0,20.0,0.0,0.0,97.5,2.5,90.0,0.0,0.0,80.0,0.0,0.0,100.0,7.5,15.0,85.0,85.0,0.0,0.0,10.0,0.0,87.5,40.0,95.0,0.0,97.5,0.0,0.0,95.0,0.0,0.0,90.0,0.0,0.0,10.0,20.0,17.5,2.5,2.5,5.0,5.0,2.5,2.5,92.5,0.0,7.5,5.0,35.0,0.0,67.5
Desktop Computers,0.0,2.5,45.0,45.0,0.0,80.0,0.0,0.0,0.0,0.0,42.5,47.5,0.0,2.5,10.0,0.0,2.5,62.5,77.5,2.5,47.5,0.0,2.5,0.0,90.0,0.0,90.0,57.49999999999999,0.0,87.5,10.0,0.0,72.5,37.5,75.0,65.0,0.0,25.0,77.5,5.0,40.0,42.5,57.49999999999999,0.0,70.0,30.0,5.0,0.0,55.00000000000001,0.0
Dishwashers,27.500000000000004,30.0,0.0,0.0,77.5,2.5,85.0,80.0,0.0,0.0,0.0,0.0,80.0,10.0,20.0,87.5,77.5,0.0,0.0,15.0,2.5,80.0,37.5,75.0,0.0,82.5,0.0,0.0,82.5,0.0,0.0,85.0,0.0,0.0,10.0,17.5,25.0,5.0,2.5,7.5,2.5,2.5,2.5,75.0,0.0,10.0,10.0,45.0,0.0,82.5
Drones,7.5,7.5,60.0,50.0,0.0,40.0,0.0,0.0,42.5,0.0,0.0,57.49999999999999,0.0,10.0,5.0,0.0,2.5,55.00000000000001,42.5,5.0,52.5,0.0,10.0,2.5,42.5,0.0,42.5,55.00000000000001,0.0,37.5,32.5,0.0,45.0,40.0,27.500000000000004,27.500000000000004,2.5,50.0,32.5,10.0,52.5,57.49999999999999,45.0,2.5,52.5,45.0,10.0,2.5,62.5,0.0
E-Readers,5.0,10.0,65.0,52.5,0.0,35.0,0.0,0.0,47.5,0.0,57.49999999999999,0.0,0.0,5.0,10.0,0.0,5.0,55.00000000000001,32.5,5.0,47.5,0.0,7.5,0.0,40.0,0.0,50.0,52.5,0.0,37.5,27.500000000000004,0.0,47.5,45.0,30.0,27.500000000000004,5.0,47.5,35.0,5.0,57.49999999999999,57.49999999999999,45.0,2.5,72.5,45.0,7.5,2.5,52.5,2.5
Electric Kettles,20.0,20.0,0.0,0.0,97.5,2.5,90.0,100.0,0.0,80.0,0.0,0.0,0.0,7.5,15.0,85.0,85.0,0.0,0.0,10.0,0.0,87.5,40.0,95.0,0.0,97.5,0.0,0.0,95.0,0.0,0.0,90.0,0.0,0.0,10.0,20.0,17.5,2.5,2.5,5.0,5.0,2.5,2.5,92.5,0.0,7.5,5.0,35.0,0.0,67.5
Electric Toothbrushes,20.0,25.0,5.0,5.0,7.5,2.5,7.5,7.5,2.5,10.0,10.0,5.0,7.5,0.0,20.0,7.5,7.5,7.5,2.5,77.5,7.5,10.0,25.0,12.5,2.5,10.0,5.0,2.5,7.5,2.5,12.5,7.5,2.5,7.5,7.5,2.5,20.0,17.5,5.0,87.5,7.5,7.5,7.5,10.0,7.5,17.5,82.5,22.5,5.0,12.5
Fans,75.0,85.0,7.5,5.0,15.0,12.5,17.5,15.0,10.0,20.0,5.0,10.0,15.0,20.0,0.0,17.5,17.5,7.5,12.5,30.0,10.0,15.0,57.49999999999999,17.5,12.5,15.0,10.0,10.0,17.5,12.5,17.5,17.5,12.5,7.5,15.0,12.5,75.0,12.5,12.5,25.0,0.0,10.0,12.5,17.5,5.0,25.0,25.0,60.0,10.0,27.500000000000004
Freezers,25.0,22.5,0.0,0.0,82.5,2.5,92.5,85.0,0.0,87.5,0.0,0.0,85.0,7.5,17.5,0.0,90.0,0.0,0.0,10.0,0.0,87.5,37.5,80.0,0.0,82.5,0.0,0.0,87.5,0.0,0.0,92.5,0.0,0.0,10.0,17.5,22.5,2.5,2.5,5.0,2.5,2.5,2.5,82.5,0.0,7.5,5.0,37.5,0.0,80.0
Fridges,25.0,22.5,2.5,2.5,82.5,5.0,82.5,85.0,2.5,77.5,2.5,5.0,85.0,7.5,17.5,90.0,0.0,2.5,2.5,10.0,2.5,82.5,37.5,80.0,2.5,82.5,2.5,2.5,82.5,2.5,0.0,82.5,2.5,0.0,12.5,15.0,22.5,2.5,5.0,5.0,0.0,5.0,5.0,82.5,2.5,7.5,5.0,40.0,2.5,75.0
Gaming Consoles,2.5,7.5,45.0,42.5,0.0,52.5,0.0,0.0,62.5,0.0,55.00000000000001,55.00000000000001,0.0,7.5,7.5,0.0,2.5,0.0,50.0,5.0,47.5,0.0,5.0,0.0,60.0,0.0,62.5,55.00000000000001,0.0,55.00000000000001,20.0,0.0,82.5,35.0,40.0,37.5,2.5,37.5,45.0,7.5,37.5,47.5,47.5,0.0,57.49999999999999,45.0,7.5,5.0,75.0,0.0
Graphic Cards,0.0,2.5,45.0,47.5,0.0,87.5,0.0,0.0,77.5,0.0,42.5,32.5,0.0,2.5,12.5,0.0,2.5,50.0,0.0,2.5,50.0,0.0,2.5,0.0,82.5,0.0,77.5,57.49999999999999,0.0,90.0,12.5,0.0,62.5,37.5,67.5,70.0,0.0,20.0,75.0,5.0,32.5,35.0,47.5,0.0,52.5,20.0,5.0,0.0,52.5,0.0
Hair Dryers,25.0,32.5,5.0,2.5,10.0,2.5,10.0,10.0,2.5,15.0,5.0,5.0,10.0,77.5,30.0,10.0,10.0,5.0,2.5,0.0,5.0,10.0,30.0,10.0,2.5,12.5,2.5,2.5,10.0,2.5,10.0,10.0,2.5,7.5,7.5,2.5,27.500000000000004,17.5,5.0,85.0,5.0,5.0,7.5,10.0,5.0,22.5,85.0,30.0,2.5,17.5
Headphones,5.0,7.5,50.0,52.5,0.0,52.5,0.0,0.0,47.5,2.5,52.5,47.5,0.0,7.5,10.0,0.0,2.5,47.5,50.0,5.0,0.0,0.0,5.0,0.0,52.5,2.5,52.5,70.0,0.0,50.0,30.0,0.0,55.00000000000001,47.5,37.5,32.5,5.0,42.5,45.0,7.5,47.5,47.5,67.5,0.0,52.5,37.5,7.5,5.0,62.5,2.5
Hobs,20.0,20.0,0.0,0.0,85.0,2.5,92.5,87.5,0.0,80.0,0.0,0.0,87.5,10.0,15.0,87.5,82.5,0.0,0.0,10.0,0.0,0.0,37.5,82.5,0.0,85.0,0.0,0.0,87.5,0.0,0.0,92.5,0.0,0.0,10.0,17.5,17.5,2.5,2.5,5.0,2.5,2.5,2.5,82.5,0.0,7.5,7.5,32.5,0.0,72.5
Irons,60.0,62.5,5.0,2.5,40.0,5.0,40.0,40.0,2.5,37.5,10.0,7.5,40.0,25.0,57.49999999999999,37.5,37.5,5.0,2.5,30.0,5.0,37.5,0.0,40.0,2.5,37.5,5.0,2.5,42.5,2.5,15.0,40.0,2.5,5.0,12.5,5.0,52.5,12.5,5.0,27.500000000000004,5.0,10.0,7.5,35.0,7.5,25.0,27.500000000000004,67.5,5.0,40.0
Juicers,25.0,25.0,0.0,0.0,92.5,2.5,85.0,95.0,0.0,75.0,2.5,0.0,95.0,12.5,17.5,80.0,80.0,0.0,0.0,10.0,0.0,82.5,40.0,0.0,0.0,92.5,0.0,0.0,90.0,0.0,0.0,85.0,0.0,0.0,10.0,20.0,17.5,2.5,2.5,10.0,5.0,2.5,2.5,92.5,0.0,5.0,10.0,35.0,0.0,67.5
Keyboards,0.0,2.5,45.0,47.5,0.0,90.0,0.0,0.0,90.0,0.0,42.5,40.0,0.0,2.5,12.5,0.0,2.5,60.0,82.5,2.5,52.5,0.0,2.5,0.0,0.0,0.0,85.0,62.5,0.0,92.5,12.5,0.0,72.5,40.0,72.5,65.0,0.0,27.500000000000004,80.0,5.0,37.5,35.0,62.5,0.0,60.0,27.500000000000004,5.0,0.0,60.0,0.0
Kitchen Scales,22.5,22.5,0.0,0.0,95.0,2.5,87.5,97.5,0.0,82.5,0.0,0.0,97.5,10.0,15.0,82.5,82.5,0.0,0.0,12.5,2.5,85.0,37.5,92.5,0.0,0.0,0.0,0.0,92.5,0.0,0.0,87.5,0.0,0.0,10.0,20.0,20.0,5.0,2.5,7.5,5.0,2.5,2.5,90.0,0.0,10.0,7.5,37.5,0.0,70.0
