,Account Statements,Balance Transfer,Bereavement Support,Bonds,Budgeting Tools and Resources,Car Insurance Renewal,Cardless Cash Withdrawal,Cheque Payments,Claims,Credit Score,Current Accounts,Daily Savings,Data and Privacy Control,Debit Cards,Debt Management Services,Digital Confidence,Financial Assistance,Financial Education Webinars,Fixed Deposit,Fixed Term Savings,Fixed-rate Credit Card,Fraud Alerts and Monitoring,Fund Performance,Google/Apple Pay,Insurance Coverage Calculator,Interest Rates,International Payments,International Trading,Investment Accounts,ISA Accounts,Life Insurance Coverage,Mobile Banking App,Mortgage Calculator,Mortgage Rates,Online Purchases,Other Borrowing Options,Overdraft Protection,Personal Loan Calculator,Personal Pension,Personalised Financial Advice,Remortgage Options,Retirement Planning Calculator,Rewards Programme,Savings Options,Self-Invested Personal Pension (SIPP),Stock Trading and Shares,Student account,Student Loan Repayment,Travel Insurance,Trustee Banking
Account Statements,0.0,36.36363636363637,23.076923076923077,23.076923076923077,16.666666666666664,6.666666666666667,11.11111111111111,33.33333333333333,28.57142857142857,15.384615384615385,66.66666666666666,20.0,41.66666666666667,61.53846153846154,0.0,16.666666666666664,13.333333333333334,8.333333333333332,23.076923076923077,20.0,8.333333333333332,30.76923076923077,23.076923076923077,30.0,0.0,9.090909090909092,37.5,13.333333333333334,21.428571428571427,23.076923076923077,14.285714285714285,71.42857142857143,14.285714285714285,9.090909090909092,50.0,23.076923076923077,53.84615384615385,10.0,25.0,20.0,23.076923076923077,16.666666666666664,69.23076923076923,16.666666666666664,14.285714285714285,7.142857142857142,42.857142857142854,15.384615384615385,16.666666666666664,66.66666666666666
Balance Transfer,36.36363636363637,0.0,7.142857142857142,9.090909090909092,7.6923076923076925,7.6923076923076925,28.57142857142857,50.0,0.0,15.384615384615385,44.44444444444444,22.22222222222222,18.181818181818183,75.0,25.0,18.181818181818183,9.090909090909092,11.11111111111111,16.666666666666664,18.181818181818183,60.0,33.33333333333333,9.090909090909092,40.0,0.0,27.27272727272727,38.46153846153847,8.333333333333332,0.0,10.0,11.11111111111111,58.333333333333336,7.142857142857142,27.27272727272727,50.0,27.27272727272727,37.5,0.0,0.0,0.0,44.44444444444444,7.6923076923076925,36.36363636363637,16.666666666666664,10.0,10.0,25.0,33.33333333333333,21.428571428571427,37.5
Bereavement Support,23.076923076923077,7.142857142857142,0.0,6.666666666666667,35.0,5.88235294117647,23.52941176470588,13.333333333333334,28.57142857142857,6.666666666666667,0.0,7.142857142857142,35.0,7.6923076923076925,58.333333333333336,44.44444444444444,52.94117647058824,64.28571428571429,5.0,11.76470588235294,0.0,33.33333333333333,21.052631578947366,23.52941176470588,33.33333333333333,27.77777777777778,16.666666666666664,21.052631578947366,0.0,6.666666666666667,25.0,17.647058823529413,11.11111111111111,5.555555555555555,15.0,11.76470588235294,37.5,12.5,15.384615384615385,56.25,14.285714285714285,47.368421052631575,30.0,6.25,35.0,0.0,21.428571428571427,6.666666666666667,0.0,23.52941176470588
Bonds,23.076923076923077,9.090909090909092,6.666666666666667,0.0,14.285714285714285,0.0,9.090909090909092,10.0,11.11111111111111,0.0,45.45454545454545,38.46153846153847,7.142857142857142,30.76923076923077,7.142857142857142,11.76470588235294,6.25,15.384615384615385,20.0,66.66666666666666,35.294117647058826,6.666666666666667,47.05882352941176,0.0,9.090909090909092,30.76923076923077,0.0,70.0,81.25,53.333333333333336,6.25,25.0,14.285714285714285,11.11111111111111,0.0,21.428571428571427,16.666666666666664,6.666666666666667,45.45454545454545,8.333333333333332,9.090909090909092,13.333333333333334,20.0,42.857142857142854,53.333333333333336,84.21052631578947,31.25,0.0,11.11111111111111,50.0
Budgeting Tools and Resources,16.666666666666664,7.6923076923076925,35.0,14.285714285714285,0.0,6.25,21.428571428571427,14.285714285714285,0.0,13.333333333333334,16.666666666666664,41.66666666666667,18.75,20.0,53.84615384615385,43.75,62.5,75.0,11.11111111111111,25.0,21.428571428571427,25.0,29.411764705882355,26.666666666666668,30.0,15.384615384615385,5.88235294117647,10.0,10.526315789473683,0.0,0.0,38.46153846153847,37.5,12.5,11.11111111111111,20.0,35.714285714285715,50.0,18.181818181818183,69.23076923076923,9.090909090909092,35.294117647058826,25.0,33.33333333333333,16.666666666666664,6.25,6.666666666666667,11.76470588235294,0.0,28.57142857142857
Car Insurance Renewal,6.666666666666667,7.6923076923076925,5.88235294117647,0.0,6.25,0.0,18.181818181818183,6.666666666666667,23.52941176470588,14.285714285714285,13.333333333333334,8.333333333333332,11.76470588235294,7.6923076923076925,20.0,5.88235294117647,5.555555555555555,6.666666666666667,6.25,0.0,11.76470588235294,7.142857142857142,11.76470588235294,25.0,68.75,6.25,7.142857142857142,4.761904761904762,0.0,8.333333333333332,75.0,5.88235294117647,18.75,26.666666666666668,21.052631578947366,15.789473684210526,21.428571428571427,25.0,16.666666666666664,15.384615384615385,15.384615384615385,5.555555555555555,11.76470588235294,7.142857142857142,12.5,0.0,6.666666666666667,28.57142857142857,73.68421052631578,0.0
Cardless Cash Withdrawal,11.11111111111111,28.57142857142857,23.52941176470588,9.090909090909092,21.428571428571427,18.181818181818183,0.0,54.54545454545454,31.25,12.5,30.0,22.22222222222222,33.33333333333333,40.0,27.27272727272727,21.428571428571427,23.076923076923077,25.0,21.428571428571427,33.33333333333333,40.0,45.45454545454545,29.411764705882355,69.23076923076923,18.181818181818183,10.0,66.66666666666666,6.666666666666667,0.0,15.384615384615385,15.384615384615385,30.0,27.27272727272727,18.181818181818183,64.28571428571429,8.333333333333332,25.0,7.142857142857142,18.181818181818183,40.0,10.0,0.0,45.45454545454545,8.333333333333332,7.6923076923076925,14.285714285714285,9.090909090909092,16.666666666666664,7.142857142857142,33.33333333333333
Cheque Payments,33.33333333333333,50.0,13.333333333333334,10.0,14.285714285714285,6.666666666666667,54.54545454545454,0.0,20.0,0.0,61.53846153846154,36.36363636363637,12.5,41.66666666666667,20.0,0.0,6.666666666666667,15.384615384615385,15.384615384615385,21.428571428571427,38.46153846153847,16.666666666666664,12.5,62.5,0.0,18.75,82.35294117647058,11.76470588235294,11.76470588235294,9.090909090909092,7.6923076923076925,43.75,22.22222222222222,15.384615384615385,56.25,14.285714285714285,18.181818181818183,13.333333333333334,25.0,20.0,8.333333333333332,7.142857142857142,25.0,15.384615384615385,20.0,16.666666666666664,33.33333333333333,23.076923076923077,5.555555555555555,18.181818181818183
Claims,28.57142857142857,0.0,28.57142857142857,11.11111111111111,0.0,23.52941176470588,31.25,20.0,0.0,7.6923076923076925,7.142857142857142,6.666666666666667,25.0,13.333333333333334,29.411764705882355,11.11111111111111,10.0,25.0,13.636363636363635,6.25,9.523809523809524,41.17647058823529,20.833333333333336,12.5,40.0,18.75,23.52941176470588,22.727272727272727,10.526315789473683,5.88235294117647,30.0,7.142857142857142,5.555555555555555,5.88235294117647,35.0,7.142857142857142,22.22222222222222,0.0,7.6923076923076925,20.0,6.666666666666667,0.0,30.0,12.5,5.263157894736842,10.0,13.333333333333334,6.666666666666667,21.052631578947366,23.52941176470588
Credit Score,15.384615384615385,15.384615384615385,6.666666666666667,0.0,13.333333333333334,14.285714285714285,12.5,0.0,7.6923076923076925,0.0,9.090909090909092,20.0,30.76923076923077,9.090909090909092,30.0,28.57142857142857,31.25,30.0,35.714285714285715,7.142857142857142,0.0,23.076923076923077,21.428571428571427,8.333333333333332,10.0,15.384615384615385,6.666666666666667,6.666666666666667,0.0,10.0,7.142857142857142,15.384615384615385,29.411764705882355,23.076923076923077,25.0,23.076923076923077,30.76923076923077,15.384615384615385,12.5,14.285714285714285,25.0,29.411764705882355,25.0,33.33333333333333,7.6923076923076925,0.0,7.142857142857142,0.0,6.25,23.076923076923077
Current Accounts,66.66666666666666,44.44444444444444,0.0,45.45454545454545,16.666666666666664,13.333333333333334,30.0,61.53846153846154,7.142857142857142,9.090909090909092,0.0,80.0,14.285714285714285,90.0,21.428571428571427,0.0,6.666666666666667,7.142857142857142,43.75,58.333333333333336,50.0,13.333333333333334,40.0,25.0,0.0,46.15384615384615,27.27272727272727,31.25,61.53846153846154,76.92307692307693,7.6923076923076925,50.0,21.428571428571427,25.0,33.33333333333333,15.384615384615385,40.0,14.285714285714285,55.55555555555556,10.0,0.0,0.0,31.25,55.55555555555556,33.33333333333333,30.76923076923077,76.92307692307693,18.181818181818183,7.142857142857142,54.54545454545454
Daily Savings,20.0,22.22222222222222,7.142857142857142,38.46153846153847,41.66666666666667,8.333333333333332,22.22222222222222,36.36363636363637,6.666666666666667,20.0,80.0,0.0,7.6923076923076925,77.77777777777779,30.0,0.0,15.384615384615385,8.333333333333332,50.0,81.81818181818183,23.076923076923077,22.22222222222222,21.428571428571427,25.0,0.0,36.36363636363637,16.666666666666664,41.66666666666667,43.75,63.63636363636363,0.0,25.0,10.0,10.0,21.428571428571427,16.666666666666664,36.36363636363637,8.333333333333332,45.45454545454545,15.384615384615385,7.142857142857142,10.0,38.46153846153847,81.81818181818183,42.857142857142854,30.76923076923077,53.84615384615385,15.384615384615385,0.0,44.44444444444444
Data and Privacy Control,41.66666666666667,18.181818181818183,35.0,7.142857142857142,18.75,11.76470588235294,33.33333333333333,12.5,25.0,30.76923076923077,14.285714285714285,7.6923076923076925,0.0,10.0,15.384615384615385,60.0,21.428571428571427,23.076923076923077,17.647058823529413,28.57142857142857,14.285714285714285,76.92307692307693,12.5,26.666666666666668,18.181818181818183,30.76923076923077,25.0,23.52941176470588,0.0,0.0,18.75,26.666666666666668,25.0,30.76923076923077,29.411764705882355,23.52941176470588,23.076923076923077,8.333333333333332,18.181818181818183,8.333333333333332,16.666666666666664,14.285714285714285,33.33333333333333,13.333333333333334,6.25,7.142857142857142,15.384615384615385,0.0,11.11111111111111,16.666666666666664
Debit Cards,61.53846153846154,75.0,7.6923076923076925,30.76923076923077,20.0,7.6923076923076925,40.0,41.66666666666667,13.333333333333334,9.090909090909092,90.0,77.77777777777779,10.0,0.0,27.27272727272727,8.333333333333332,9.090909090909092,0.0,35.714285714285715,58.333333333333336,71.42857142857143,28.57142857142857,25.0,30.0,7.6923076923076925,28.57142857142857,30.0,26.666666666666668,25.0,63.63636363636363,14.285714285714285,58.333333333333336,20.0,20.0,38.46153846153847,10.0,66.66666666666666,16.666666666666664,20.0,22.22222222222222,22.22222222222222,6.666666666666667,53.84615384615385,55.55555555555556,25.0,25.0,72.72727272727273,9.090909090909092,15.384615384615385,42.857142857142854
Debt Management Services,0.0,25.0,58.333333333333336,7.142857142857142,53.84615384615385,20.0,27.27272727272727,20.0,29.411764705882355,30.0,21.428571428571427,30.0,15.384615384615385,27.27272727272727,0.0,43.75,80.0,53.333333333333336,20.0,16.666666666666664,13.333333333333334,46.15384615384615,31.25,13.333333333333334,41.66666666666667,30.76923076923077,8.333333333333332,20.0,0.0,15.384615384615385,6.25,25.0,33.33333333333333,27.27272727272727,23.52941176470588,14.285714285714285,50.0,61.53846153846154,8.333333333333332,50.0,25.0,18.181818181818183,13.333333333333334,25.0,7.6923076923076925,6.25,0.0,23.076923076923077,0.0,16.666666666666664
Digital Confidence,16.666666666666664,18.181818181818183,44.44444444444444,11.76470588235294,43.75,5.88235294117647,21.428571428571427,0.0,11.11111111111111,28.57142857142857,0.0,0.0,60.0,8.333333333333332,43.75,0.0,47.368421052631575,62.5,6.666666666666667,10.526315789473683,6.25,46.15384615384615,23.52941176470588,17.647058823529413,27.27272727272727,31.25,13.333333333333334,10.0,0.0,12.5,16.666666666666664,35.714285714285715,18.75,18.181818181818183,21.052631578947366,6.666666666666667,31.25,33.33333333333333,9.090909090909092,50.0,14.285714285714285,20.0,18.75,0.0,6.666666666666667,5.88235294117647,6.666666666666667,11.76470588235294,0.0,15.384615384615385
Financial Assistance,13.333333333333334,9.090909090909092,52.94117647058824,6.25,62.5,5.555555555555555,23.076923076923077,6.666666666666667,10.0,31.25,6.666666666666667,15.384615384615385,21.428571428571427,9.090909090909092,80.0,47.368421052631575,0.0,75.0,22.22222222222222,13.333333333333334,6.25,42.857142857142854,30.0,26.666666666666668,28.57142857142857,18.75,10.526315789473683,13.636363636363635,5.555555555555555,6.666666666666667,11.11111111111111,20.0,31.25,14.285714285714285,5.263157894736842,25.0,55.00000000000001,47.05882352941176,8.333333333333332,80.0,20.0,14.285714285714285,12.5,13.333333333333334,13.333333333333334,0.0,5.88235294117647,20.0,4.761904761904762,41.66666666666667
