,Account Statements,Balance Transfer,Bereavement Support,Bonds,Budgeting Tools and Resources,Car Insurance Renewal,Cardless Cash Withdrawal,Cheque Payments,Claims,Credit Score,Current Accounts,Daily Savings,Data and Privacy Control,Debit Cards,Debt Management Services,Digital Confidence,Financial Assistance,Financial Education Webinars,Fixed Deposit,Fixed Term Savings,Fixed-rate Credit Card,Fraud Alerts and Monitoring,Fund Performance,Google/Apple Pay,Insurance Coverage Calculator,Interest Rates,International Payments,International Trading,Investment Accounts,ISA Accounts,Life Insurance Coverage,Mobile Banking App,Mortgage Calculator,Mortgage Rates,Online Purchases,Other Borrowing Options,Overdraft Protection,Personal Loan Calculator,Personal Pension,Personalised Financial Advice,Remortgage Options,Retirement Planning Calculator,Rewards Programme,Savings Options,Self-Invested Personal Pension (SIPP),Stock Trading and Shares,Student account,Student Loan Repayment,Travel Insurance,Trustee Banking
Account Statements,0.0,10.0,7.5,7.5,5.0,2.5,2.5,10.0,10.0,5.0,15.0,5.0,12.5,20.0,0.0,5.0,5.0,2.5,7.5,5.0,2.5,10.0,7.5,7.5,0.0,2.5,15.0,5.0,7.5,7.5,5.0,25.0,5.0,2.5,17.5,7.5,17.5,2.5,5.0,5.0,7.5,5.0,22.5,5.0,5.0,2.5,15.0,5.0,7.5,15.0
Balance Transfer,10.0,0.0,2.5,2.5,2.5,2.5,5.0,12.5,0.0,5.0,10.0,5.0,5.0,15.0,5.0,5.0,2.5,2.5,5.0,5.0,15.0,7.5,2.5,10.0,0.0,7.5,12.5,2.5,0.0,2.5,2.5,17.5,2.5,7.5,20.0,7.5,7.5,0.0,0.0,0.0,10.0,2.5,10.0,5.0,2.5,2.5,7.5,7.5,7.5,7.5
Bereavement Support,7.5,2.5,0.0,2.5,17.5,2.5,10.0,5.0,15.0,2.5,0.0,2.5,17.5,2.5,17.5,20.0,22.5,22.5,2.5,5.0,0.0,12.5,10.0,10.0,10.0,12.5,7.5,10.0,0.0,2.5,12.5,7.5,5.0,2.5,7.5,5.0,15.0,5.0,5.0,22.5,5.0,22.5,15.0,2.5,17.5,0.0,7.5,2.5,0.0,10.0
Bonds,7.5,2.5,2.5,0.0,5.0,0.0,2.5,2.5,5.0,0.0,12.5,12.5,2.5,10.0,2.5,5.0,2.5,5.0,7.5,25.0,15.0,2.5,20.0,0.0,2.5,10.0,0.0,35.0,32.5,20.0,2.5,7.5,5.0,2.5,0.0,7.5,7.5,2.5,12.5,2.5,2.5,5.0,7.5,15.0,20.0,40.0,12.5,0.0,5.0,17.5
Budgeting Tools and Resources,5.0,2.5,17.5,5.0,0.0,2.5,7.5,5.0,0.0,5.0,5.0,12.5,7.5,5.0,17.5,17.5,25.0,22.5,5.0,10.0,7.5,7.5,12.5,10.0,7.5,5.0,2.5,5.0,5.0,0.0,0.0,12.5,15.0,5.0,5.0,7.5,12.5,17.5,5.0,22.5,2.5,15.0,10.0,10.0,7.5,2.5,2.5,5.0,0.0,10.0
Car Insurance Renewal,2.5,2.5,2.5,0.0,2.5,0.0,5.0,2.5,10.0,5.0,5.0,2.5,5.0,2.5,7.5,2.5,2.5,2.5,2.5,0.0,5.0,2.5,5.0,10.0,27.500000000000004,2.5,2.5,2.5,0.0,2.5,30.0,2.5,7.5,10.0,10.0,7.5,7.5,10.0,5.0,5.0,5.0,2.5,5.0,2.5,5.0,0.0,2.5,10.0,35.0,0.0
Cardless Cash Withdrawal,2.5,5.0,10.0,2.5,7.5,5.0,0.0,15.0,12.5,2.5,7.5,5.0,10.0,10.0,7.5,7.5,7.5,7.5,7.5,7.5,15.0,12.5,12.5,22.5,5.0,2.5,20.0,2.5,0.0,5.0,5.0,7.5,7.5,5.0,22.5,2.5,7.5,2.5,5.0,10.0,2.5,0.0,12.5,2.5,2.5,5.0,2.5,5.0,2.5,7.5
Cheque Payments,10.0,12.5,5.0,2.5,5.0,2.5,15.0,0.0,7.5,0.0,20.0,10.0,5.0,12.5,7.5,0.0,2.5,5.0,5.0,7.5,12.5,5.0,5.0,25.0,0.0,7.5,35.0,5.0,5.0,2.5,2.5,17.5,10.0,5.0,22.5,5.0,5.0,5.0,7.5,5.0,2.5,2.5,10.0,5.0,5.0,5.0,10.0,7.5,2.5,5.0
Claims,10.0,0.0,15.0,5.0,0.0,10.0,12.5,7.5,0.0,2.5,2.5,2.5,10.0,5.0,12.5,5.0,5.0,12.5,7.5,2.5,5.0,17.5,12.5,5.0,15.0,7.5,10.0,12.5,5.0,2.5,15.0,2.5,2.5,2.5,17.5,2.5,10.0,0.0,2.5,10.0,2.5,0.0,15.0,5.0,2.5,5.0,5.0,2.5,10.0,10.0
Credit Score,5.0,5.0,2.5,0.0,5.0,5.0,2.5,0.0,2.5,0.0,2.5,5.0,10.0,2.5,7.5,10.0,12.5,7.5,12.5,2.5,0.0,7.5,7.5,2.5,2.5,5.0,2.5,2.5,0.0,2.5,2.5,5.0,12.5,7.5,10.0,7.5,10.0,5.0,2.5,2.5,7.5,12.5,10.0,10.0,2.5,0.0,2.5,0.0,2.5,7.5
Current Accounts,15.0,10.0,0.0,12.5,5.0,5.0,7.5,20.0,2.5,2.5,0.0,20.0,5.0,22.5,7.5,0.0,2.5,2.5,17.5,17.5,17.5,5.0,15.0,10.0,0.0,15.0,7.5,12.5,20.0,25.0,2.5,12.5,7.5,5.0,12.5,5.0,10.0,5.0,12.5,2.5,0.0,0.0,12.5,12.5,10.0,10.0,25.0,5.0,2.5,15.0
Daily Savings,5.0,5.0,2.5,12.5,12.5,2.5,5.0,10.0,2.5,5.0,20.0,0.0,2.5,17.5,7.5,0.0,5.0,2.5,17.5,22.5,7.5,5.0,7.5,7.5,0.0,10.0,5.0,12.5,17.5,17.5,0.0,7.5,2.5,2.5,7.5,5.0,10.0,2.5,12.5,5.0,2.5,2.5,12.5,22.5,15.0,10.0,17.5,5.0,0.0,10.0
Data and Privacy Control,12.5,5.0,17.5,2.5,7.5,5.0,10.0,5.0,10.0,10.0,5.0,2.5,0.0,2.5,5.0,22.5,7.5,7.5,7.5,10.0,5.0,25.0,5.0,10.0,5.0,10.0,10.0,10.0,0.0,0.0,7.5,10.0,10.0,10.0,12.5,10.0,7.5,2.5,5.0,2.5,5.0,5.0,15.0,5.0,2.5,2.5,5.0,0.0,5.0,5.0
Debit Cards,20.0,15.0,2.5,10.0,5.0,2.5,10.0,12.5,5.0,2.5,22.5,17.5,2.5,0.0,7.5,2.5,2.5,0.0,12.5,17.5,25.0,10.0,7.5,7.5,2.5,10.0,7.5,10.0,7.5,17.5,5.0,17.5,7.5,5.0,12.5,2.5,20.0,5.0,5.0,5.0,5.0,2.5,17.5,12.5,7.5,7.5,20.0,2.5,5.0,15.0
Debt Management Services,0.0,5.0,17.5,2.5,17.5,7.5,7.5,7.5,12.5,7.5,7.5,7.5,5.0,7.5,0.0,17.5,30.0,20.0,7.5,5.0,5.0,15.0,12.5,5.0,12.5,10.0,2.5,10.0,0.0,5.0,2.5,7.5,15.0,7.5,10.0,5.0,20.0,20.0,2.5,15.0,7.5,5.0,5.0,7.5,2.5,2.5,0.0,7.5,0.0,5.0
Digital Confidence,5.0,5.0,20.0,5.0,17.5,2.5,7.5,0.0,5.0,10.0,0.0,0.0,22.5,2.5,17.5,0.0,22.5,25.0,2.5,5.0,2.5,15.0,10.0,7.5,7.5,12.5,5.0,5.0,0.0,5.0,7.5,12.5,7.5,5.0,10.0,2.5,12.5,12.5,2.5,17.5,5.0,7.5,7.5,0.0,2.5,2.5,2.5,5.0,0.0,5.0
Financial Assistance,5.0,2.5,22.5,2.5,25.0,2.5,7.5,2.5,5.0,12.5,2.5,5.0,7.5,2.5,30.0,22.5,0.0,30.0,10.0,5.0,2.5,15.0,15.0,10.0,10.0,7.5,5.0,7.5,2.5,2.5,5.0,7.5,12.5,5.0,2.5,10.0,27.500000000000004,20.0,2.5,30.0,7.5,5.0,5.0,5.0,5.0,0.0,2.5,7.5,2.5,12.5
Financial Education Webinars,2.5,2.5,22.5,5.0,22.5,2.5,7.5,5.0,12.5,7.5,2.5,2.5,7.5,0.0,20.0,25.0,30.0,0.0,5.0,2.5,0.0,10.0,15.0,7.5,10.0,7.5,10.0,10.0,2.5,0.0,2.5,2.5,5.0,2.5,2.5,5.0,15.0,15.0,2.5,30.0,2.5,5.0,2.5,2.5,2.5,2.5,2.5,5.0,0.0,7.5
Fixed Deposit,7.5,5.0,2.5,7.5,5.0,2.5,7.5,5.0,7.5,12.5,17.5,17.5,7.5,12.5,7.5,2.5,10.0,5.0,0.0,22.5,17.5,5.0,12.5,7.5,0.0,17.5,7.5,5.0,15.0,20.0,0.0,2.5,17.5,15.0,5.0,12.5,10.0,7.5,5.0,2.5,15.0,0.0,12.5,17.5,10.0,12.5,7.5,2.5,0.0,7.5
Fixed Term Savings,5.0,5.0,5.0,25.0,10.0,0.0,7.5,7.5,2.5,2.5,17.5,22.5,10.0,17.5,5.0,5.0,5.0,2.5,22.5,0.0,22.5,5.0,15.0,5.0,2.5,20.0,7.5,17.5,20.0,17.5,2.5,10.0,10.0,5.0,0.0,12.5,12.5,2.5,5.0,5.0,2.5,5.0,10.0,25.0,15.0,17.5,12.5,0.0,5.0,22.5
Fixed-rate Credit Card,2.5,15.0,0.0,15.0,7.5,5.0,15.0,12.5,5.0,0.0,17.5,7.5,5.0,25.0,5.0,2.5,2.5,0.0,17.5,22.5,0.0,5.0,15.0,10.0,2.5,12.5,5.0,12.5,7.5,15.0,5.0,15.0,12.5,12.5,7.5,17.5,12.5,10.0,10.0,2.5,12.5,2.5,17.5,12.5,12.5,12.5,17.5,10.0,5.0,10.0
Fraud Alerts and Monitoring,10.0,7.5,12.5,2.5,7.5,2.5,12.5,5.0,17.5,7.5,5.0,5.0,25.0,10.0,15.0,15.0,15.0,10.0,5.0,5.0,5.0,0.0,10.0,12.5,7.5,2.5,10.0,7.5,0.0,2.5,5.0,7.5,5.0,0.0,17.5,2.5,7.5,5.0,2.5,10.0,2.5,2.5,22.5,2.5,2.5,2.5,2.5,2.5,2.5,12.5
Fund Performance,7.5,2.5,10.0,20.0,12.5,5.0,12.5,5.0,12.5,7.5,15.0,7.5,5.0,7.5,12.5,10.0,15.0,15.0,12.5,15.0,15.0,10.0,0.0,2.5,7.5,10.0,7.5,25.0,17.5,17.5,2.5,12.5,10.0,5.0,5.0,7.5,15.0,17.5,10.0,12.5,0.0,12.5,12.5,7.5,12.5,20.0,0.0,2.5,0.0,15.0
Google/Apple Pay,7.5,10.0,10.0,0.0,10.0,10.0,22.5,25.0,5.0,2.5,10.0,7.5,10.0,7.5,5.0,7.5,10.0,7.5,7.5,5.0,10.0,12.5,2.5,0.0,0.0,0.0,25.0,2.5,0.0,2.5,7.5,17.5,5.0,5.0,27.500000000000004,10.0,10.0,5.0,5.0,12.5,5.0,2.5,15.0,2.5,5.0,0.0,7.5,10.0,7.5,10.0
Insurance Coverage Calculator,0.0,0.0,10.0,2.5,7.5,27.500000000000004,5.0,0.0,15.0,2.5,0.0,0.0,5.0,2.5,12.5,7.5,10.0,10.0,0.0,2.5,2.5,7.5,7.5,0.0,0.0,7.5,0.0,2.5,0.0,2.5,22.5,2.5,12.5,2.5,5.0,5.0,10.0,10.0,0.0,5.0,7.5,10.0,2.5,0.0,2.5,0.0,0.0,5.0,15.0,2.5
Interest Rates,2.5,7.5,12.5,10.0,5.0,2.5,2.5,7.5,7.5,5.0,15.0,10.0,10.0,10.0,10.0,12.5,7.5,7.5,17.5,20.0,12.5,2.5,10.0,0.0,7.5,0.0,2.5,12.5,10.0,10.0,7.5,10.0,17.5,15.0,10.0,10.0,12.5,10.0,0.0,7.5,12.5,2.5,12.5,5.0,2.5,7.5,7.5,2.5,0.0,10.0
International Payments,15.0,12.5,7.5,0.0,2.5,2.5,20.0,35.0,10.0,2.5,7.5,5.0,10.0,7.5,2.5,5.0,5.0,10.0,7.5,7.5,5.0,10.0,7.5,25.0,0.0,2.5,0.0,7.5,5.0,2.5,0.0,12.5,7.5,5.0,25.0,5.0,7.5,2.5,2.5,7.5,2.5,2.5,10.0,2.5,5.0,5.0,7.5,10.0,2.5,10.0
International Trading,5.0,2.5,10.0,35.0,5.0,2.5,2.5,5.0,12.5,2.5,12.5,12.5,10.0,10.0,10.0,5.0,7.5,10.0,5.0,17.5,12.5,7.5,25.0,2.5,2.5,12.5,7.5,0.0,25.0,10.0,5.0,7.5,7.5,7.5,2.5,10.0,10.0,5.0,12.5,5.0,2.5,10.0,12.5,15.0,20.0,37.5,12.5,5.0,7.5,17.5
Investment Accounts,7.5,0.0,0.0,32.5,5.0,0.0,0.0,5.0,5.0,0.0,20.0,17.5,0.0,7.5,0.0,0.0,2.5,2.5,15.0,20.0,7.5,0.0,17.5,0.0,0.0,10.0,5.0,25.0,0.0,22.5,2.5,2.5,5.0,2.5,0.0,0.0,5.0,0.0,12.5,5.0,7.5,2.5,5.0,15.0,17.5,30.0,15.0,0.0,2.5,20.0
